"genre","us_creator","type","duration","female_percent","age_13_17","age_18_24","age_25_34","age_35_44","age_45_54","age_55_plus","us_audience","sponsored","monthly_views_growth","followers","uploads_90d","month","dow","live","views"
"Entertainment",1,"media company",1.2333333,34.60032,5.319045,27.155289,27.917847,14.428255,13.085121,12.094444,65.63061,0,0.009271974,944.657,2744,11,5,0,63.746
"Entertainment",1,"media company",0.5,28.780329,1.4986134,13.857537,22.557587,17.525473,23.027748,21.533041,81.95876,0,0.030132711,505.678,4954,12,1,0,17.344
"Entertainment",1,"influencer",0.55,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,0,0.008452531,371.916,0,11,2,0,78.355
"Entertainment",1,"media company",2.1166666,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,6,4,0,13.466
"Entertainment",1,"media company",0.78333336,84.25395,4.5475507,33.239635,33.619328,16.457573,6.63893,5.4969864,50.48011,0,0.0026286123,1009.791,49,4,3,0,72.333
"Entertainment",1,"media company",2,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,7,4,0,13.447
"Sports",1,"media company",2.4833333,56.573845,7.026729,49.348198,33.886578,6.3560553,1.6589239,1.7235173,40.1834,0,0.03965205,2051.191,1261,3,5,0,101.256
"Entertainment",1,"media company",1.5666667,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,8,3,0,13.531
"Entertainment",1,"media company",1.4333333,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,3,0,0,367.064
"Entertainment",1,"media company",0.6333333,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,5,1,0,95.462
"Entertainment",0,"media company",13.766666,28.145414,2.6426907,37.385746,36.796547,12.2328415,5.3873286,5.5548463,6.583815,0,0.025293006,4265.123,305,2,3,0,471.315
"Entertainment",1,"media company",0.16666667,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,4,0,17.006
"Entertainment",1,"media company",0.46666667,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,5,0,34.86
"Entertainment",1,"media company",1.6666666,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,5,0,25.396
"Entertainment",1,"media company",2.2,50.046043,1.8988557,12.158836,26.731018,22.811022,18.99381,17.40646,77.846535,0,0.027487054,897.328,1370,7,3,0,66.489
"Entertainment",1,"media company",9.9,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,9,5,0,18.881
"Entertainment",0,"media company",3.1166666,28.145414,2.6426907,37.385746,36.796547,12.2328415,5.3873286,5.5548463,6.583815,0,0.025293006,4265.123,305,3,5,0,443.111
"Entertainment",1,"media company",1.1833333,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,4,5,0,527.698
"Entertainment",1,"media company",17.45,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,5,2,0,385.948
"Entertainment",1,"media company",0.28333333,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,7,6,0,90.098
"Entertainment",1,"media company",15.6,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,11,6,0,18.568
